relevance,shrink_mode,lambda,ROC AUC,replication
10,hs_global_permutation,100.0,0.5957137924125082,1
15,hs,0.0,0.5611769926920349,1
15,hs,0.1,0.5611769926920349,1
15,hs,1.0,0.5611769926920349,1
15,hs,10.0,0.5651142696339325,1
15,hs,25.0,0.5699332232613538,1
15,hs,50.0,0.5720597534723781,1
15,hs,100.0,0.5845174595244564,1
15,hs_entropy,0.0,0.5611769926920349,1
15,hs_entropy,0.1,0.5611769926920349,1
15,hs_entropy,1.0,0.5611769926920349,1
15,hs_entropy,10.0,0.5658562237024183,1
15,hs_entropy,25.0,0.5881990552960508,1
15,hs_entropy,50.0,0.5945713655477064,1
15,hs_entropy,100.0,0.6236639223876485,1
15,hs_log_cardinality,0.0,0.5611769926920349,1
15,hs_log_cardinality,0.1,0.5611769926920349,1
15,hs_log_cardinality,1.0,0.5611769926920349,1
15,hs_log_cardinality,10.0,0.568598981008922,1
15,hs_log_cardinality,25.0,0.5860567962077085,1
15,hs_log_cardinality,50.0,0.5976424213485896,1
15,hs_log_cardinality,100.0,0.6298529483207567,1
15,hs_permutation,0.0,0.5611769926920349,1
15,hs_permutation,0.1,0.5722101215284625,1
15,hs_permutation,1.0,0.5751357973772747,1
15,hs_permutation,10.0,0.6105606739900102,1
15,hs_permutation,25.0,0.6207835000120578,1
15,hs_permutation,50.0,0.6226529353121641,1
15,hs_permutation,100.0,0.6321790913816139,1
15,hs_global_permutation,0.0,0.5611769926920349,1
15,hs_global_permutation,0.1,0.5512698442856133,1
15,hs_global_permutation,1.0,0.5570048622782107,1
15,hs_global_permutation,10.0,0.572542467169502,1
15,hs_global_permutation,25.0,0.5937931651325423,1
15,hs_global_permutation,50.0,0.6059068328534165,1
15,hs_global_permutation,100.0,0.6209451899197299,1
20,hs,0.0,0.5407859709047828,1
20,hs,0.1,0.5407859709047828,1
20,hs,1.0,0.5407859709047828,1
20,hs,10.0,0.5488980648064807,1
20,hs,25.0,0.5887436647510904,1
20,hs,50.0,0.623062778393224,1
20,hs,100.0,0.6501325372921907,1
20,hs_entropy,0.0,0.5407859709047828,1
20,hs_entropy,0.1,0.5407859709047828,1
20,hs_entropy,1.0,0.5407859709047828,1
20,hs_entropy,10.0,0.5677946381176581,1
20,hs_entropy,25.0,0.6247377978182435,1
20,hs_entropy,50.0,0.6688353296868149,1
20,hs_entropy,100.0,0.6868221322132213,1
20,hs_log_cardinality,0.0,0.5407859709047828,1
20,hs_log_cardinality,0.1,0.5407859709047828,1
20,hs_log_cardinality,1.0,0.5407859709047828,1
20,hs_log_cardinality,10.0,0.5657357745389924,1
20,hs_log_cardinality,25.0,0.6298759039365475,1
20,hs_log_cardinality,50.0,0.6717539388554241,1
20,hs_log_cardinality,100.0,0.6868221322132213,1
20,hs_permutation,0.0,0.5407859709047828,1
20,hs_permutation,0.1,0.5802062600490819,1
20,hs_permutation,1.0,0.592418884196112,1
20,hs_permutation,10.0,0.6183539536645972,1
20,hs_permutation,25.0,0.6609478457461131,1
20,hs_permutation,50.0,0.6669628943663597,1
20,hs_permutation,100.0,0.6787780826159538,1
20,hs_global_permutation,0.0,0.5407859709047828,1
