relevance,shrink_mode,lambda,ROC AUC,replication
20,hs_permutation,25.0,0.6913314787965492,0
20,hs_permutation,50.0,0.6913314787965492,0
20,hs_permutation,100.0,0.6913314787965492,0
20,hs_global_permutation,0.0,0.6341070174719212,0
20,hs_global_permutation,0.1,0.6693001534419678,0
20,hs_global_permutation,1.0,0.6698731661141432,0
20,hs_global_permutation,10.0,0.6893512807767472,0
20,hs_global_permutation,25.0,0.6913314787965492,0
20,hs_global_permutation,50.0,0.6913314787965492,0
20,hs_global_permutation,100.0,0.6913314787965492,0
00,hs,0.0,0.5219227828195611,1
00,hs,0.1,0.5214040923250135,1
00,hs,1.0,0.5175279904291097,1
00,hs,10.0,0.5079544602785396,1
00,hs,25.0,0.5184383719623786,1
00,hs,50.0,0.5249816612874112,1
00,hs,100.0,0.5195920463473327,1
00,hs_entropy,0.0,0.5219227828195611,1
